route_idx,route_name,svc,region_idx,region,sort_idx,carriers,port_rotation,frequency,duration,ships,updated_at
86,Japan South West Service 1 (JSW1),JSW1,26,Japan,3,Sinokor,"Busan,Tsuruga,Kanazawa,Maizuru,Busan",7,7,1 x 698 teu,
87,Japan West Kyushu 1 (JWK1),JWK1,27,Japan,3,KMTC,"Busan,Nagasaki,Kumamoto,Yatsushiro,Satsumasendai,Busan",7,14,2 x 342 teu,
88,Japan-Korea Feeder 02 (KF02),KF02,28,Japan,3,Camellia Line,"Busan,Moji,Hiroshima,Busan,Moji,Nakanoseki,Tokuyama Kudamatsu,Hiroshima,Busan",7,7,1 x 556 teu,
89,KAGUYA,KAGUYA,29,Japan,3,MSC,"Busan,Kobe,Osaka,Hakata,Busan",7,7,"1 x 2,826 teu",
90,Keihin Express 1 (KHX1),KHX1,30,Japan,3,Heung-A,"Busan,Tokyo,Yokohama,Nagoya,Toyohashi,Ulsan,Busan",7,7,"1 x 1,003 teu",
91,Korea Bohai Express (KBX),KBX,31,Japan,3,Heung-A,"Busan,Ulsan,Kwangyang,Qingdao,Busan",7,7,"1 x 1,003 teu",
92,Korea Japan Hanshin Kehin (KJHK),KJHK,32,Japan,3,Panstar,"Busan,Kobe,Tokyo,Yokohama,Nagoya,Busan",7,7,1 x 345 teu,
93,Korea Japan Keihin (KJK),KJK,33,Japan,3,Dongjin Shipping,"Busan,Shimizu,Yokohama,Tokyo,Nagoya,Busan",7,7,1 x 953 teu,
94,Korea Japan Service (KJS)/Korea Japan Keihin (KJK) Loop 1 (westbound),KJK/KJS,34,Japan,3,CK Line / Taiyoung,"Incheon,Busan,Wakayama,Tokyo,Yokohama,Chiba,Busan",7,21,3 x 787 teu,
95,Korea Japan Service (KJS)/Korea Japan Keihin (KJK) Loop 2 (eastbound),KJK/KJS,35,Japan,3,CK Line / Taiyoung,"Incheon,Busan,Shimizu,Tokyo,Yokohama,Nagoya,Busan,Incheon",7,21,3 x 787 teu,
96,Korea-Japan Hanshin (KJH),KJH,36,Japan,3,CK Line,"Busan,Incheon,Busan,Kobe,Osaka,Mizushima,Busan",7,7,1 x 704 teu,
97,Korea-Japan Hanshin 2 (DHS/HS2),HS2,37,Japan,3,Dong Young / Pan Ocean,"Busan,Osaka,Kobe,Kwangyang,Busan,Osaka,Kobe,Busan",7,7,1 x 634 teu,
98,Korea-Japan Hanshin Service 2 (KJS2),KJS2,38,Japan,3,Heung-A,"Busan,Osaka,Kobe,Kwangyang,Busan,Osaka,Kobe,Busan",7,7,1 x 698 teu,
99,Korea-Japan Keihin Service 1 (KJS1),KJS1,39,Japan,3,Sinokor,"Busan,Yokohama,Tokyo,Nagoya,Kwangyang,Busan",7,7,"1 x 1,054 teu",
100,Masan-Shimonoseki Express (MSX),MSX,40,Japan,3,Sinokor,"Busan,Shimonoseki,Moji,Hakata,Busan",7,7,1 x 428 teu,
101,Nine Province Feeder service (NPF),NPF,41,Japan,3,CNC,"Busan,Shibushi,Oita,Moji,Hakata,Kwangyang,Busan",7,7,"1 x 1,032 teu",
102,PanStar Express Ferry,PTGE,42,Japan,3,Panstar Ferry,"Busan,Masan,Tsuraga,Kanazawa,Busan",7,7,1 x 264 teu,
103,Shikoku Express (SKX),SKX1,43,Japan,3,Sinokor,"Busan,Iyomishima,Takamatsu,Hiroshima,Iwakuni,Hososhima,Busan",7,7,1 x 724 teu,
