route_idx,route_name,svc,region_idx,region,sort_idx,carriers,port_rotation,frequency,duration,ships,updated_at
176,China Chennai Service (CCS) / Far East Madras Service 2 (FME2) / China-India Service 5 (CI5),CI5,1,ISC,6,BTL / KMTC / Interasia / WH ,"Chennai,Kattupalli,Port Klang Northport,Singapore,Pasir Gudang,Kaohsiung,Qingdao,Busan,Shanghai,Shekou,Singapore,Port Klang Westport,Port Klang Northport,Chennai",7,42,"6 x 3,621 teu",
177,China-India Express 3 (CIX3) ,CIX3,2,ISC,6,COSCO / OOCL / GSL,"Xingang,Dalian,Busan,Shanghai,Xiamen,Hong Kong,Shekou,Singapore,Colombo,Nhava Sheva,Pipavav,Port Klang,Singapore,Hong Kong,Xingang",7,35,"5 x 7,427 teu",
178,Far East India Express (FIX / AIS / KCIS),AIS,3,ISC,6,COSCO / KMTC / TSL,"Qingdao,Kwangyang,Busan,Ningbo,Shekou,Singapore,Port Klang,Nhava Sheva,Mundra,Karachi,Port Klang,Hong Kong,Qingdao",7,42,"6 x 4,964 teu",
179,Far East-Indian Subcontinent 3 (FI3)/North China-India West Coast X-Press (NWX),FI3W,4,ISC,6,Maersk / X-Press,"Qingdao,Xingang,Busan,Tanjung Pelepas,Port Klang,Nhava Sheva,Pipavav,Karachi,Mundra,Port Klang,Singapore,Qingdao",7,49,"7 x 6,881 teu",
180,India East Coast Express (IEX) / Far East-Chennai Service (FCS) / Far East Madras Express (FME) / RCL Far East-Madras 3 (RFM3) / Far East-Chennai Express (IFX),ACE,5,ISC,6,CMA CGM / COSCO / KMTC / RCL / Unifeeder,"Busan,Qingdao,Shanghai,Shekou,Singapore,Port Klang Westport,Chennai,Visakhapatnam,Port Klang Westport,Singapore,Busan",7,35,"5 x 5,782 teu",
181,Sinokor India Service 2 (SIS 2) / China Sub Continent (CSC) / Asia Indian Subcontinent 2 (AIS2),SIS2,6,ISC,6,Global Feeder Shipping,"Busan,Kwangyang,Shanghai,Ningbo,Shekou,Port Klang Westport,Nhava Sheva,Mundra,Karachi,Port Klang Westport,Busan",7,35,"5 x 4,894 teu",
182,Pacific South 3 (PS3),PS3W,7,ISC,6,ONE/YML,"Nhava Sheva,Pipavav,Colombo,Port Klang,Singapore,Cai Mep,Haiphong,Yantian,Los Angeles,Oakland,Tokyo,Busan,Shanghai,Ningbo,Shekou,Singapore,Port Klang,Nhava Sheva",7,84,"12 x 7,871 teu",
183,Far East-India-Med (FIM) service,FIM,8,ISC,6,HMM,"Busan,Shanghai,Ningbo,Shekou,Singapore,Nhava Sheva,Karachi,Mundra,Algeciras,Valencia,Barcelona,Genoa,Piraeus,Algeciras,Karachi,Mundra,Nhava Sheva,Kattupalli,Singapore,Dachan Bay,Busan",7,70,"10 x 9,379 teu",
184,Far East-India-Med (FIM) service,FIM,9,ISC,6,HMM,"Busan,Shanghai,Ningbo,Shekou,Singapore,Nhava Sheva,Karachi,Mundra,Algeciras,Valencia,Barcelona,Genoa,Piraeus,Algeciras,Karachi,Mundra,Nhava Sheva,Kattupalli,Singapore,Dachan Bay,Busan",7,70,"10 x 9,379 teu",
185,Asia Gulf Express (AGX) / Far East-Middle East 1 (FM1),FM1,1,ME,7,Hapag-Lloyd/Maersk,"Xingang,Qingdao,Busan,Ningbo,Shanghai,Tanjung Pelepas,Jebel Ali,Singapore,Xingang",7,56,"8 x 8,789 teu",
186,Asia Gulf Express 1 (AG1) / Korea-Middle East Express (KME),AG1,2,ME,7,HMM,"Xingang,Qingdao,Busan,Shanghai,Ningbo,Kaohsiung,Shekou,Singapore,Jebel Ali,Dammam,Umm Qasr,Jubail,Hamad,Abu Dhabi,Jebel Ali,Sohar,Port Klang,Singapore,Hong Kong,Xingang",7,56,"8 x 15,665 teu",
187,Gulf Asia Liner Express (Galex / GLX / AIM),GLX,3,ME,7,Emirates Shipping Line,"Busan,Qingdao,Xiamen,Dachan Bay,Port Klang,Jebel Ali,Dammam,Khalifa bin Salman,Busan",7,49,"7 x 6,781 teu",
188,Asia-Med Service 2 (MED2) (Med Club Express(MEX) / AEM2 / WM2 / MEX1),MX1OA,1,FE-MED,8,CMA CGM,"Qingdao,Busan,Shanghai,Ningbo,Xiamen,Nansha,Shekou,Singapore,Valencia,Barcelona,Fos,Marsaxlokk,Port Klang,Qingdao",7,77,"11 x 15,277 teu",
189,Asia-Med Service 5 (MED5) (Phoenixian Express(PHOEX) / AEM6 / AAS / BEX2),PHXOA,2,FE-MED,8,CMA CGM,"Shanghai,Ningbo,Busan,Shekou,Singapore,(Suez Canal),Alexandria,Beirut,Tripoli,Koper,Trieste,Rijeka,Alexandria,(Suez Canal),Jeddah,Port Klang,Shekou,Shanghai",7,70,"10 x 13,566 teu",
190,Dragon (Premier Alliance : MD4),DRAGON,3,FE-MED,8,MSC,"Busan,Shanghai,Nansha,Yantian,Singapore,Marsaxlokk,,Genoa,La Spezia,Fos,Malaga,Abidjan,Lome,Nhava Sheva,Mundra,Vizhinjam,Busan",7,42,"16 x 14,904 teu",
191,Jade (Premier Alliance : MD5 eastbound only),JADE,4,FE-MED,8,MSC,"Qingdao,Busan,Ningbo,Shanghai,Yantian,Singapore,Vizhinjam,Sines,Valencia,Barcelona,Gioia Tauro,Singapore,Shanghai,Qingdao",7,112,"16 x 23,411 teu",
192,Mediterranean Pacific South 2 (MS2) (MSC : Lynx),MS2,5,FE-MED,8,ONE / YML,"Busan,Shanghai,Ningbo,Kaohsiung,Shekou,Singapore,Tangier,Valencia,Barcelona,Genoa,Fos,Singapore,Laem Chabang,Cai Mep,Shanghai,Long Beach/Los Angeles,Oakland,Busan",7,105,"15 x 14,940 teu",
193,Tiger (Premier Alliance : MD3),TIGER,6,FE-MED,8,MSC,"Xingang,Dalian,Busan,Ningbo,Shanghai,Singapore,Yarimca,Ambarli,Tekirdag,Piraeus,Singapore,Xiamen,Xingang",7,119,"17 x 19,101 teu",
194,ZIM Med Premium?(ZMP),ZMPW,7,FE-MED,8,Zim,"Busan,Qingdao,Shanghai,Ningbo,Dachan Bay,Cai Mep,Valencia,Haifa,Ashdod,Mersin,Derince,Ambarli,Dachan Bay,Xiamen,Busan",7,84,"12 x 8,708 teu",
195,Far East-Europe 3 (FE3) (MSC : Condor),FE3,1,FE-N.Eur,9,HMM/ONE,"Qingdao,Busan,Shanghai,Xiamen,Singapore,Algeciras,Rotterdam,Hamburg,Southampton,Singapore,Yantian,Qingdao",7,126,"18 x 21,780 teu",
196,Swan (Premier Alliance : FE6),SWAN,2,FE-N.Eur,9,MSC,"Ningbo,Shanghai,Xiamen,Yantian,Singapore,Le Havre,Rotterdam,Gothenburg,Aarhus,Hamburg,Antwerp,Port Klang,Singapore,Laem Chabang,Cai Mep,Busan,Long Beach,Oakland,Yokohama,Ningbo",7,91,"13 x 16,187 teu",
197,Chesapeake Bay Express (CBX) / AWE7 / ECC3,CBX,1,FE-ECNA,10,OMA CGM,"Port Klang,Haiphong,Yantian,Ningbo,Shanghai,Busan,Yokohama,Norfolk,Savannah,Charleston,Miami,Port Klang",7,42,"6 x 8,078 teu",
198,East Coast 4 (EC4) / Asia-US Gulf (AUG),EC4E,2,FE-ECNA,10,ONE/YML/Evergreen,"Kaohsiung,Hong Kong,Yantian,Ningbo,Shanghai,Busan,Houston,Mobile,Balboa,Kaohsiung",7,70,"10 x 7,060 teu",
199,EC1,EC1E,3,FE-ECNA,10,HMM/ONE,"Kaohsiung,Yantian,Shanghai,Ningbo,Busan,New York,Norfolk,Savannah,Balboa,Kaohsiung",7,91,"13 x 9,868 teu",
200,EC2,EC2E/EC2W,4,FE-ECNA,10,HMM/ONE,"Busan,Xiamen,Yantian,Ningbo,Shanghai,Busan,Manzanillo (PAN),Savannah,Charleston,Jacksonville,Manzanillo (PAN),Busan",7,84,"12 x 12,919 teu",
201,Empire / Zim North Star (ZNS),EMPIRE E/EMPIRE W,5,FE-ECNA,10,MSC,"Busan,Qingdao,Shanghai,Ningbo,Busan,New York,Norfolk,Baltimore,Busan",7,84,"12 x 7,825 teu",
202,Lone Star Express / Zim South Lotus (ZSL),LONEST,6,FE-ECNA,10,MSC,"Cai Mep,Yantian,Ningbo,Shanghai,Busan,Mobile,Houston,Tampa,Miami,Freeport (Bah),Singapore,Cai Mep",7,105,"15 x 7,934 teu",
203,US2/TP12,GUSEC2E,7,FE-ECNA,10,Hapag-Lloyd,"Ningbo,Shanghai,Busan,Cartagena (Col),New York,Norfolk,Cartagena (Col),Los Angeles,Ningbo",7,91,"13 x 9,992 teu",
204,US3/TP15,GUSEC3,8,FE-ECNA,10,Maersk,"Shanghai,Ningbo,Yantian,Busan,Lazaro Cardenas,Houston,Mobile,Cartagena (Col),Balboa,Shanghai",7,91,"13 x 8,519 teu",
205,USEC1 (Manhattan Bridge (MANB) / AWE2 / ECX2 / NUE2),AWE2,9,FE-ECNA,10,COSCO Shipping,"Qingdao,Ningbo,Shanghai,Busan,Panama Canal,New York,Norfolk,Savannah,Panama Canal,Xingang,Qingdao",7,56,"8 x 13,623 teu",
206,USEC4 (Vespucci / AWE1 / ECC2 / NUE),NUE,10,FE-ECNA,10,Evergreen,"Qingdao,Shanghai,Ningbo,Busan,Panama Canal,Colon,Savannah,Charleston,Boston (US),New York,Colon (Coco Solo),Panama Canal,Qingdao",7,84,"12 x 12,663 teu",
207,USEC6 (Pacific Express 3(PEX3) / GME2 / GCC1),PE3OA,11,FE-ECNA,10,CMA CGM,"Singapore,Cai Mep,Shekou,Ningbo,Shanghai,Busan,Panama Canal,Houston,Mobile,New Orleans,Suez Canal,Singapore",7,84,"12 x 9,280 teu",
208,Zim Container Service Pacific (ZCP) / Amberjack,ZCP,12,FE-ECNA,10,Zim,"Nansha,Yantian,Xiamen,Ningbo,Shanghai,Busan,Manzanillo (Pan),Kingston,Savannah,Charleston,Wilmington,Kingston,Nansha",7,98,"14 x 14,268 teu",
209,America West Coast (AWC),AWCE/AWCW,1,FE-WCNA,11,SeaLead / TSL / KMTC,"Ningbo,Shanghai,Busan,Long Beach,Busan,Qingdao,Ningbo",7,42,"6 x 5,374 teu",
210,China Pacific Express (CPX),CPXE/CPXW,2,FE-WCNA,11,SM Line,"Qingdao,Shanghai,Ningbo,Busan,Long Beach,Portland(OR),Busan,Kwangyang,Qingdao",7,42,"6 x 6,655 teu",
211,Chinook-Clanga,CHNCLE,3,FE-WCNA,11,MSC,"Cai Mep,Haiphong,Yantian,Ningbo,Shanghai,Qingdao,Busan,Seattle,Vancouver,Prince Rupert,Qingdao,Shanghai,Ningbo,Nansha,Singapore,Nhava Sheva,Dammam,Hamad,Cai Mep",7,63,"9 x 11,641 teu",
212,Eagle Express 1 (EX1),EX1E/EX1W,4,FE-WCNA,11,APL,"Qingdao,Shanghai,Busan,Los Angeles,Oakland,Yokohama,Naha,Busan,Qingdao",7,49,"7 x 5,598 teu",
213,Eagle Express X (EXX),EXX,5,FE-WCNA,11,CMA CGM,"Ningbo,Shanghai,Los Angeles,Oakland,Honolulu/Dutch Harbor,Busan/Kwangyang,Ningbo",7,42,"6 x 5,095 teu",
214,Mediterranean Pacific South 2 (MS2),MS2,6,FE-WCNA,11,ONE / YML,"Busan,Shanghai,Ningbo,Kaohsiung,Shekou,Singapore,Tangier,Valencia,Barcelona,Genoa,Fos,Singapore,Laem Chabang,Cai Mep,Shanghai,Long Beach/Los Angeles,Oakland,Busan",7,77,"11 x 14,746 teu",
215,N Asia-West Coast North America 1 - Japan (PNW1J),PNW,7,FE-WCNA,11,Westwood Shipping,"Pyoengtaek,Busan,Osaka,Nagoya,Tokyo,Everett,Seattle,Fraser Port,Vancouver (BC),Shimizu,Yokohama,Tokyo,Pyongtaek",7,28,"4 x 2,048 teu",
216,N Asia-West Coast North America 2 (PNW2),PNW,8,FE-WCNA,11,Westwood Shipping,"Busan,Hakata,Osaka,Nagoya,Shimizu,Tokyo,Everett,Seattle,Fraser Port,Busan",7,21,"3 x 2,293 teu",
217,Orient,ORIENT E,9,FE-WCNA,11,MSC,"Busan,Qingdao,Ningbo,Shanghai,Long Beach,Oakland,Busan",7,49,"7 x 9,520 teu",
218,Pacific North 3 (PN3),PN3E/PN3W,10,FE-WCNA,11,HMM / YM,"Qingdao,Ningbo,Shanghai,Busan,Vancouver (BC),Tacoma,Busan,Qingdao",7,49,"7 x 5,863 teu",
219,Pacific South 6 (PS6),PS6E/PS6W,11,FE-WCNA,11,HMM,"Busan,Kwangyang,Incheon,Shanghai,Ningbo,Kwangyang,Busan,Los Angeles,Oakland,Busan",7,56,"8 x 13,521 teu",
220,PNW Service (PNS),PNSE/PNSW,12,FE-WCNA,11,SM Line,"Yantian,Ningbo,Shanghai,Busan,Seattle,Vancouver (BC),Busan,Yantian",7,42,"6 x 4,283 teu",
221,PNW1 - Columbus PNW (CPNW/MPNW/PNW2),COBOA,13,FE-WCNA,11,CMA CGM,"Yantian,Xiamen,Ningbo,Shanghai,Busan,Seattle,Vancouver (BC),Kwangyang,Yantian",7,49,"7 x 9,777 teu",
222,PSW5 - Hangzhou Bay Bridge / China Pacific Southwest (PSW5 / HBB / AAC2 / CPS / PCN3),CPS,14,FE-WCNA,11,Evergreen,"Qingdao,Shanghai,Ningbo,Los Angeles,Oakland,Busan,Qingdao",7,49,"7 x 10,570 teu",
223,PSW9 - Hibicus Express / Pacific China Central 1 (PSW9 / HIX / AAC4 / PCC1),PCC1E/PCC1W,15,FE-WCNA,11,OOCL,"Ningbo,Shanghai,Busan,Long Beach,Busan,Ningbo",7,42,"6 x 13,297 teu",
224,WC2/TP8,GUSWC2E,16,FE-WCNA,11,Maersk,"Qingdao,Busan,Shanghai,Los Angeles,Oakland,Qingdao",7,56,"8 x 10,792 teu",
225,WC3/TP1,GUSWC3E,17,FE-WCNA,11,Maersk,"Yantian,Shanghai,Busan,Yokohama,Prince Rupert,Vancouver (BC),Yantian",7,49,"7 x 8,386 teu",
226,WC4/TP5,GUSWC4E,18,FE-WCNA,11,Hapag-Lloyd/Maersk,"Yokohama,Ningbo,Shanghai,Busan,Tacoma,Vancouver (BC),Yokohama",7,49,"7 x 8,606 teu",
227,WC5/TP7,GUSWC5E,19,FE-WCNA,11,Hapag-Lloyd/Maersk,"Yokohama,Busan,Ningbo,Los Angeles,Yokohama",7,42,"6 x 7,182 teu",
228,WC6/TP6,GUSWC6E,20,FE-WCNA,11,Hapag-Lloyd/Maersk,"Xiamen,Busan,Long Beach,Xiamen",7,42,"6 x 4,562 teu",
229,ZIM : ZIM Central China Xpress (ZX2),ZX2,21,FE-WCNA,11,Zim,"Shanghai,Ningbo,Los Angeles,Busan,Shanghai",7,35,"5 x 5,173 teu",
230,Asia Hawaii Express (AHX),AHX,22,FE-WCNA,11,ONE,"Busan,Yokohama,Honolulu,Busan",7,21,"3 x 1,034 teu",
231,CARIOCA service,CRIOCA,1,FE-ECSA,12,MSC,"Qingdao,Busan,Ningbo,Shanghai,Shekou,Singapore,Colombo,Rio de Janeiro,Santos,Paranagua,Itajai,Buenos Aires,Rio Grande,Imbituba,Itajai,Santos,Walvis Bay,Colombo,Singapore,Qingdao",7,56,"8 x 9,304 teu",
232,Far East - India - Latin America (FIL),FIL,2,FE-ECSA,12,HMM,"Busan,Shanghai,Ningbo,Shekou,Singapore,Kattupalli,Santos,Rio Grande,Paranagua,Navegantes,Singapore,Hong Kong,Busan",7,63,"9 x 7,086 teu",
233,Far East-Latin America 2/East Coast South America Express 2  (FL2/SX2),SX2,3,FE-ECSA,12,ONE / HMM,"Shekou,Singapore,Rio Grande,Itapoa,Santos,Singapore,Hong Kong,Busan,Shekou",7,91,"13 x 4,858 teu",
234,Asia Central South America 1 (ACSA1),ACSAE/ACSAW,1,FE-WCSA,13,CMA CGM,"Yokohama,Busan,Qingdao,Ningbo,Shanghai,San Antonio,Chancay,Callao,Posorja,Yokohama",7,70,"10 x 9,787 teu",
235,Asia Latin America Express 4 (AX4) / Far East-Latin America Express (FLX),AX4/FLX,2,FE-WCSA,13,ONE / HMM,"Ningbo,Shanghai,Busan,Lazaro Cardenas,Ningbo",7,28,"4 x 4,564 teu",
236,Asia-Mexico Mexico Express (AMX),AMX,3,FE-WCSA,13,ESL / KMTC / RCL / Sinokor / Sinotrans / SeaLead / TSL,"Shanghai,Qingdao,Busan,Manzanillo (Mexico),Shanghai",7,49,"7 x 3,305 teu",
237,Asia-Mexico West Coast Service (Mexicas),MEXICA,4,FE-WCSA,13,MSC,"Shekou,Ningbo,Shanghai,Qingdao,Busan,Lazaro Cardenias,Manzanillo,Shekou",7,56,"8 x 5,859 teu",
238,Asia-South America Loop 2 (Andes / AX2 / AN2 / NW2),ASPA2E/ASPA2W,5,FE-WCSA,13,MSC / ONE,"Shanghai,Xiamen,Shekou,Hong Kong,Ningbo,Busan,Manzanillo (Mexico),Lazaro Cardenas,Balboa,Buenaventura,Callao,San Antonio,Lirquen,Coronel,Callao,Manzanillo (Mexico),Lazaro Cardenas,Yokohama,Busan,Shanghai",7,91,"13 x 15,390 teu",
239,Asia-South America West Coast (AC2),AC2S,6,FE-WCSA,13,Maersk,"Shanghai,Qingdao,Busan,Yokohama,Manzanillo (Mexico),Lazaro Cardenas,Guayaquil,Balboa,Manzanillo (Mexico),Lazaro Cardenas,Shanghai",7,70,"10 x 13,020 teu",
240,Asia-South America West Coast (AC3),AC3E,7,FE-WCSA,13,Maersk,"Hong Kong,Shanghai,Ningbo,Kwangyang,Busan,Balboa,Buenaventura,Callao,Puerto Angamos,San Antonio,Hong Kong",7,77,"11 x 9,730 teu",
241,Asia-WCSA (WS6 / AS2 / SA8),WCSA/WS6,8,FE-WCSA,13,PIL / YM / WH,"Ningbo,Shanghai,Qingdao,Busan,Manzanillo (Mexico),Lazaro Cardenas,Puerto Quetzal,Buenaventura,Callao,Valparaiso,Ningbo",7,84,"12 x 6,576 teu",
242,Far East-WCSA Loop 1 (INCA / AX1 / AN1 / NW1),AN1,9,FE-WCSA,13,ONE / Hapag-Lloyd / HMM ,"Yantian,Hong Kong,Keelung,Shanghai,Ningbo,Busan,Manzanillo (Mexico),Lazaro Cardenas,Callao,Iquique,Puerto Angamos,Valparaiso,San Vicente,Yantian",7,91,"13 x 12,709 teu",
243,Far East-WCSA Loop 3 (Aztec / AX3 / AME1 / NW3),AN3E/AN3W,10,FE-WCSA,13,MSC / ONE / Hapag-Lloyd / HMM ,"Ningbo,Shanghai,Qingdao,Busan,Yokohama,Ensenada,Manzanillo (Mexico),Puerto Quetzal,Buenaventura,Callao,Guayaquil,Buenaventura,Balboa,Lazaro Cardenas,Manzanillo (Mexico),Ensenada,Yokohama,Busan,Ningbo",7,91,"13 x 10,343 teu",
244,Mexico Express service (M2X) / (WSA6) / (WSA5),M2XE/M2XW,11,FE-WCSA,13,CMA CGM,"Shekou,Ningbo,Shanghai,Xingang,Qingdao,Busan,Manzanillo (Mexico),Lazaro Cardenas,Busan,Shekou",7,70,"10 x 14,410 teu",
245,Pacific East Coast 2 (PEX2) / Caribbean WCSA (CAX1) / Transpacific Latin Caribbean 1 (TLC1) / Joint Caribbean Service (JCS),PEX2,12,FE-WCSA,13,CMA CGM,"Singapore,Shekou,Hong Kong,Ningbo,Shanghai,Qingdao,Busan,Manzanillo (Mexico),Balboa,Panama Canal,Manzanillo (Pan),Cartagena (Col),Kingston,Caucedo,Singapore",7,91,"13 x 10,184 teu",
246,Santana Service,SANTA,13,FE-WCSA,13,MSC,"Yantian,Ningbo,Shanghai,Qingdao,Busan,Cristobal,Caucedo,Suape,Salvador,Singapore,Yantian",7,91,"13 x 9,985 teu",
247,A3 Northern Express (A3N),A3N,1,ANZ,14,COSCO/ANL,"Yokohama,Osaka,Busan,Qingdao,Shanghai,Kaohsiung,Melbourne,Sydney,Brisbane,Yokohama",7,42,"6 x 7,007 teu",
248,Guam Saipan Express (GSX),GSX,2,ANZ,14,APL,"Busan,Hakata,Yokohama,Apra (GUAM),Saipan,Busan",7,14,"2 x 1,723 teu",
249,Japan-China-NZ service (NZJ / ANZL / JKN),ANZL,3,ANZ,14,COSCO / ONE / Maersk,"Tokyo,Kobe,Busan,Shanghai,Yantian,Hong Kong,Brisbane,Auckland,Lyttelton,Napier,Tauranga,Tokyo",7,49,"7 x 4,742 teu",
250,Kumul Service,BBAL,4,ANZ,14,BBC,"Busan,Chofu,Kobe,Lihir,Lae,Busan",7,7,1 x 336 teu,
251,North Asia Service (NAT),SWL,5,ANZ,14,Swire Shipping,"Kaohsiung,Changshu,Yokohama,Osaka,Busan,Lae,Motokea,Noumea,Auckland,Timaru,Tauranga,Marsden Point,Noumea,Prony Bay,Sri Racha,Kaohsiung",7,28,"4 x 2,135 teu",
252,North East Asia-Australia Express (NEAX / NAX / A1X / AUE),NEAX,6,ANZ,14,Hapag-Lloyd / Evergreen / HMM / ONE ,"Busan,Qingdao,Shanghai,Ningbo,Yantian,Sydney,Melbourne,Brisbane,Busan",7,49,"7 x 5,728 teu",
253,Pacific North Asia Service (Loop 1),SWL/BNMT,7,ANZ,14,Swire Shipping,"Kaohsiung,Xingang,Qingdao(alt calls),Busan,Yokohama,Port Vila,Noumea,Lautoka,Suva,Nuku'Alofa,Apia,Pago Pago,Santo(alt calls),Kaohsiung",7,28,"4 x 1,868 teu",
254,Pacific North Asia Service (Loop 3),SWL/BNMT,8,ANZ,14,Swire Shipping,"Busan,Majuro,Tarawa,Lae,Busan",7,7,"1 x 1,553 teu",
255,Panda/Zim Australia Express?(ZAX)?Service,PANDA,9,ANZ,14,MSC / Zim,"Busan,Qingdao,Shanghai,Ningbo,Nansha,Hong Kong,Yantian,Brisbane,Melbourne,Sydney,Brisbane,Busan",7,49,"7 x 6,727 teu",
256,PNG & Australia Service,,10,ANZ,14,Kyowa,"Busan,Moji,Kobe,Yokohama,Rabaul,Lae,Port Moresby,Townsville,Keelung,Busan",7,14,2 x 506 teu,
257,Saipan Guam & Micronesia Service,,11,ANZ,14,Kyowa,"Busan,Kobe,Yokohama,Saipan,Apra(Guam),Koror(alt calls),Yap(alt calls),Chuuk,Pohnpei,Kosrae,Majuro,Ebeye,Busan",7,21,3 x 693 teu,
258,South Pacific Islands / South Pacific Link / Pacific North Asia Service Loop 2,,12,ANZ,14,Swire Shipping,"Busan,Kobe,Nagoya,Yokohama,Honiara,Santo,Port Vila,Noumea,Lautoka,Suva,Nuku'Alofa,Apia,Pago Pago,Papeete,Tarawa,Busan",7,28,4 x 906 teu,
259,Africa Express,AFRICA,1,SAF/WAF,15,MSC,"Xingang,Busan,Kwangyang,Ningbo,Shanghai,Nansha,Shekou,Singapore,Tema,Lome,Abidjan,Pointe Noire,Singapore,Cai Mep,Qindao,Xingang",7,84,"12 x 22,538 teu",
