SVC1,SVC2,T1Name,T2Name,T3Name,T1Wtp,T2Wtp,T3Wtp,T1Sch,T2Sch,T3Sch
SETO3,,BPTG,PNIT,,450,100,,Sun 04 ~ Sun 18,Sun ~ Mon,
SETO4,,BPTS,PNIT,BCT,450,100,126,Sat 11 ~ Sun 00,Sun,Sun ~ Sun
CJS-E,,BPTG,,,500,,,Sun 07 ~ Sun 20,,
ISX,,BPTS,,,400,,,Sun 17 ~ Mon 05 Thu 16 ~ Thu 23,,
IA5N,,PNC,,,500,,,Wed ~ Wed,,
ITX,,BCT,DGT,,152,,,Tue ~ Tue,,
JP1,JP5,HKT,BCT,,500,121,,Sat 09 ~ Sat 15 Mon 12 ~ Mon 19,Sun ~ Sun,
JEH1,,HKT,,,850,,,Sat 07 ~ Sat 23,,
JEK1,,BPTS,,,800,,,Sat 09 ~ Sat 23,,
JEK2,,BPTS,,,700,,,Mon 22 ~ Tue 18,,
JES1,,HKT,,,400,,,Tue 11 ~ Wed 03,,
JES2,,HKT,,,350,,,Wed 03 ~ Wed 21,,
JKK,,HKT,,,400,,,Fri 16 ~ Sat 11,,
JK1,,DGT,,,1439,,,Wed ~ Thu,,
JK2,,HJNC,,,1488,,,Tue ~ Tue,,
JKS2,,HKT,,,600,,,Wed 08 ~ Thu 13,,
JSW2,,BPTS,BCT,,500,156,,Sun 02 ~ Sun 18 Wed 09 ~ Wed 23,Sat ~ Sat,
JSW1,,BPTS,BCT,,650,146,,Sun 10 ~ Sun 23,Sun ~ Sun,
JWK1,,HKT,,,400,,,Sun 07 ~ Sun 19,,
KF02,,PNC,,,600,,,Wed ~ Wed Sat ~ Sat,,
KAGUYA,,PNIT,PNC,,1000,2900,,Fri ~ Sat,Thu ~ Fri,
KHX1,,BPTS,,,950,,,Fri 13 ~ Sat 04,,
KBX,,BPTG,,,950,,,Fri 23 ~ Sat 11,,
KJHK,,DGT,,,300,,,Tue,,
KJK,,HKT,BPTS,,1200,850,,Mon 13 ~ Tue 07 Fri 10 ~ Fri 22 Thu 13 ~ Fri 07,Tue 09 ~ Wed 01,
KJK,KJS,HKT,BPTS,,1200,850,500,Mon 13 ~ Tue 07 Fri 10 ~ Fri 22 Thu 13 ~ Fri 07,Tue 09 ~ Wed 01,Wed 08 ~ Wed 18 Mon 20 ~ Tue 06
KJK,KJS,HKT,BPTS,,1200,850,500,Mon 13 ~ Tue 07 Fri 10 ~ Fri 22 Thu 13 ~ Fri 07,Tue 09 ~ Wed 01,Wed 08 ~ Wed 18 Mon 20 ~ Tue 06
KJH,,HKT,,,600,,,Wed 21 ~ Thu 05 Sun 03 ~ Sun 18,,
HS2,,BPTS,,,700,,,Mon 08 ~ Mon 23 Wed 08 ~ Wed 13 Sat 08 ~ Sat 23,,
KJS2,,,,,,,,,,
KJS1,,BPTS,,,850,,,Fri 15 ~ Sat 06,,
MSX,,BPTS,PNIT,HJNC,350,50,100,Wed 03 ~ Wed 09 Sat 13 ~ Sat 20,Sun,Wed ~ Wed
NPF,,BNCT,,,500,,,Sun,,
PTGE,,,,,,,,,,
SKX1,,BPTS,BCT,,500,180,,Sat 12 ~ Sun 02,Sun ~ Sun,
SKX2,,BPTS,BCT,,550,126,,Tue 06 ~ Tue 16,Tue ~ Wed,
THS2,,BPTS,BCT,,1000,283,,Thu 08 ~ Thu 21 Sun 08 ~ Sun 21,Mon ~ Mon,
THS3,,BPTS,BCT,,,,,Mon ~ Mon,,
THS4,,BPTG,BCT,,550,224,,Sat 13 ~ Sun 01,Sat ~ Sun,
THS5,,BPTS,BCT,,600,240,,Tue 12 ~ Wed 05,Mon ~ Tue,
JPHN,,HPNT,,,1400,,,Wed ~ Thu,,
ORIGMR,,,,,,,,,,
FM1,,PNC,,,1900,,,Fri ~ Sat,,
AG1,,HPNT,,,4800,,,Sat ~ Mon,,
GLX,,PNC,,,1900,,,Tue ~ Wed,,
MX1OA,,,,,,,,,,
PHXOA,,,,,,,,,,
DRAGON,,PNIT,,,4000,,,Thu ~ Fri,,
JADE,,PNC,,,6700,,,Sun ~ Mon,,
MS2,,,,,,,,,,
TIGER,,PNC,,,4000,,,Sat ~ Sun,,
ZMPW,,PNC,,,1200,,,Mon ~ Mon,,
FIM,,HPNT,,,5500,,,Sun ~ Mon,,
FE3,,HJNC,,,7168,,,Fri ~ Sat,,
SWAN,,,,,,,,,,
A3N,,BCT,,,1800,,,Wed ~ Thu,,
GSX,,BNCT,,,900,,,Sat ~ Sun,,
ANZL,,PNC,,,1900,,,Mon ~ Tue,,
BBAL,,,,,,,,,,
SWL,,,,,,,,,,
NEAX,,HPNT,,,3000,,,Wed ~ Thu,,
SWL,BNMT,,,,,,,,,
SWL,BNMT,,,,,,,,,
PANDA,,PNIT,,,3000,,,Tue ~ Wed,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
GHRN,,,,,,,,,,
GBS,,DGT,,,350,,,Sat ~ Sun,,
GBS,,DGT,,,350,,,Sat ~ Sun,,
JRX,,HPNT,,,100,,,Tue ~ Tue,,
KRS,,HPNT,,,1000,,,Wed ~ Wed,,
SRISEA,,,,,,,,,,
KRX,,BPTS,,,600,,,Thu 13 ~ Fri 07,,
PVS2,,BPTS,,,1000,,,Sat 05 ~ Sun 05 Wed 19 ~ Thu 13 Tue 22 ~ Wed 22,,
BRX,,HKT,,,500,,,Thu 14 ~ Fri 14,,
BVS,,BPTG,,,550,,,Mon 08 ~ Mon 17,,
CRS,,BCT,DGT,,300,,,Wed ~ Thu,Sun,
HPS1,,BPTS,,,1000,,,Fri 22 ~ Sat 18,,
,,,,,,,,,,
SRS,,BPTS,,,800,,,Sun 18 ~ Mon 14,,
,,,,,,,,,,
ANX,,HKT,,,1400,,,Sun 14 ~ Mon 05,,
A14,,PNC,,,3200,,,Tue ~ Wed,,
A05,,PNC,,,6700,,,Sun ~ Mon,,
BMX,,BNCT,,,,,,Sat ~ Sun,,
BIH,,BPTS,,,700,,,Tue 06 ~ Wed 23,,
BTS,,BPTS,,,1400,,,Thu 13 ~ Fri 04,,
CJV2,,BPTG,,,250,,,Thu 00 ~ Thu 12,,
CJV3,,BPTG,,,500,,,Fri 19 ~ Sat 08,,
KCM2S,,,,,,,,,,
CSE1,,BCT,,,503,,,Sat ~ Sat,,
DPHIN,,,,,,,,,,
FEM,,BPTG,,,2000,,,Tue 12 ~ Wed 13,,
HPX,,HKT,,,500,,,Fri 06 ~ Fri 19,,
HPS1,,BPTS,,,1000,,,Fri 22 ~ Sat 18,,
HPS2,,BPTS,,,700,,,Fri 07 ~ Fri 22,,
HP2,,PNC,,,1900,,,Sat ~ Sun,,
ICN,,HPNT,,,2300,,,Wed ~ Wed,,
ICN,,HPNT,,,2300,,,Wed ~ Wed,,
IHP2,,BPTS,,,950,,,Tue 12 ~ Wed 04,,
IA88S,,PNC,,,900,,,Thu ~ Fri,,
JSV,,BPTG,,,950,,,Thu 01 ~ Thu 15,,
JTVS,,BNCT,,,900,,,Wed,,
JVH,,HJNC,,,720,,,Mon ~ Mon,,
VTX1,,BPTG,,,750,,,Wed 08 ~ Wed 20,,
KHS1,,BPTS,,,1500,,,Fri 19 ~ Sat 32,,
KCI,,BPTS,,,1600,,,Tue 09 ~ Wed 03,,
KCM3,,HKT,,,2600,,,Sat 12 ~ Sun 12,,
KHX,,HKT,,,600,,,Sun 06 ~ Mon 16,,
KPX,,HKT,,,1100,,,Fri 08 ~ Sat 01,,
KSH,,HKT,,,900,,,Tue 20 ~ Wed 10,,
KST,,BPTS,,,1450,,,Fri 23 ~ Sat 12,,
KTH,,BPTG,DGT,,1000,600,,Tue 09 ~ Tue 19,Thu ~ Fri,
KVX1,,HKT,,,800,,,Fri 18 ~ Sat 15,,
KTS,,HKT,,,1600,,,Thu 05 ~ Fri 06,,
KVT,,BPTS,,,1650,,,Sat 17 ~ Sun 13,,
CKI2,,HKT,,,1500,,,Thu 06 ~ Fri 00,,
KCM,,BCT,,,970,,,Wed ~ Thu,,
KMS3,,HKT,,,2200,,,Wed 01 ~ Thu,,
KHP,,BPTS,,,800,,,Sun 01 ~ Sun 17,,
NTX,,BPTS,,,1100,,,Wed 15 ~ Thu 06,,
KI1,,HKT,BCT,,2200,1079,,Sat 14 ~ Sun 12,Sun ~ Mon,
KVS,,BPTG,,,1000,,,Fri 15 ~ Sat 01,,
NFS,,BPTS,,,1600,,,Tue 03 ~ Tue 23,,
NKT,,HKT,,,1100,,,Fri 00 ~ Fri 15,,
NSB,,DGT,,,1730,,,Thu ~ Fri,,
PERTWI,,,,,,,,,,
PCI,,BPTS,,,1900,,,Wed 01 ~ Wed 21,,
PCI2,,BPTS,,,2000,,,Sat 13 ~ Sun 05,,
PMX,,BPTS,,,1200,,,Wed 00 ~ Wed 12,,
CTP,,HPNT,,,2200,,,Thu ~ Fri,,
VTX,,HKT,,,1100,,,Wed 15 ~ Thu 04,,
VTS,,HKT,,,1800,,,Wed 12 ~ Thu 06,,
JPHS,,HPNT,,,1700,,,Sat ~ Sun,,
ORIGAMI A,,PNC,,,1600,,,Sat ~ Sat,,
CBX,,BNCT,,,3100,,,Tue ~ Wed,,
EC4E,,HJNC,,,3200,,,Thu ~ Thu,,
EC1E,,HPNT,,,3800,,,Tue ~ Wed,,
EC2E,EC2W,HPNT,HJNC,,4100,4800,,Thu ~ Fri,Fri ~ Sat,
EMPIRE E,EMPIRE W,PNC,,,3200,,,Sat ~ Sun,Wed ~ Thu,
LONEST,,,,,,,,,,
GUSEC2E,,,,,,,,,,
GUSEC3,,,,,,,,,,
AWE2,,BNCT,,,2900,,,Sat ~ Sun,,
NUE,,BCT,DGT,,1216,,,Sat ~ Sun,,
PE3OA,,,,,,,,,,
ZCP,,,,,,,,,,
AWCE,AWCW,BCT,,,700,500,,Wed ~ Wed,Mon ~ Mon,
CPXE,CPXW,HJNC,,,1100,600,,Sat ~ Sat,Wed ~ Wed,
CHNCLE,,,,,,,,,,
EX1E,EX1W,BNCT,,,1900,2300,,Mon ~ Tue,Sun ~ Mon,
EXX,,BNCT,,,900,,,Tue ~ Wed,,
MS2,,,,,,,,,,
PNW,,BPTS,,,900,,,Fri 09 ~ Sat 02,,
PNW,,BPTS,,,900,,,Fri 09 ~ Sat 02,,
ORIENT E,,PNIT,,,4800,,,Wed ~ Thu,,
PN3E,PN3W,HJNC,HPNT,,4000,2000,,Sun ~ Tue,Sun ~ Mon,
PS6E,PS6W,HPNT,HJNC,,4100,4480,,Sat ~ Sun,Fri ~ Sat,
PNSE,PNSW,HJNC,,,1600,800,,Mon ~ Tue,Thu ~ Fri,
COBOA,,,,,,,,,,
CPS,,BNCT,,,1300,,,Mon ~ Tue,,
PCC1E,PCC1W,BNCT,,,2800,2300,,Wed ~ Thu,Tue ~ Wed,
GUSWC2E,,,,,,,,,,
GUSWC3E,,,,,,,,,,
GUSWC4E,,,,,,,,,,
GUSWC5E,,,,,,,,,,
GUSWC6E,,,,,,,,,,
ZX2,,,,,,,,,,
AHX,,HJNC,,,848,,,Tue ~ Tue,,
ACSAE,ACSAW,,,,,,,,,
AX4,FLX,BCT,HPNT,,2000,1400,,Mon ~ Tue,,
AMX,,BPTG,,,1500,,,Sun 22 ~ Mon 12,,
MEXICA,,BCT,,,1650,,,Tue ~ Wed,,
ASPA2E,ASPA2W,,,,,,,,,
AC2S,,PNC,,,5200,,,Tue ~ Wed,,
AC3E,,PNC,,,4000,,,Sun ~ Mon,,
WCSA,WS6,BCT,,,716,,,Tue ~ Wed,,
AN1,,,,,,,,,,
AN3E,AN3W,,,,,,,,,
M2XE,M2XW,BNCT,,,3100,3900,,Wed ~ Thu,Sun ~ Mon,
PEX2,,BNCT,,,3900,,,Fri ~ Sun,,
SANTA,,,,,,,,,,
AFRICA,,BCT,,,2970,,,Sat ~ Sun,,
